Quote,Tags,Mood,Tone,Category,Usage Context,Character Count,Estimated Spoken Duration (s),Related Quotes,Related Bible Passage (KJV),KJV Reference
If bored reminiscence on the things you did to pass time when younger,General,Neutral,Reflective,General,Anytime Wisdom,69,5.2,"If you know someone is beyond hope, and you did all you could, pass him/her on; Being humble enhances the appreciation for the finer things - all in time; If someone younger than you disrespects you do attempt to regain their respect","Remember ye not the former things, neither consider the things of old.",Isaiah 43:18
A combination of different artistic works together indicate a story and theme,General,Neutral,Reflective,Life Advice,Anytime Wisdom,77,5.8,War for power never works; There is always a place for you in a story; Even the most unlikely individuals do too have a story to tell,He fashioneth their hearts alike; he considereth all their works.,Psalms 33:15
Well placed social catalysts can stop all wars,General,Neutral,Reflective,General,Anytime Wisdom,46,3.5,Think deeply at who starts what wars in wars and for what cause; Wars occur over the tiniest conflicts; Social networks are useful to let others reach out to you,Every purpose is established by counsel: and with good advice make war.,Proverbs 20:18
With a good imagination not only can you take a guess at the future but you can shape it,General,Neutral,Reflective,Creativity,Anytime Wisdom,88,6.6,A good imagination is the best escape from poverty; Imagination well used may be better than reading a good book; Never let imagination control your reasoning,"We have also a more sure word of prophecy; whereunto ye do well that ye take heed, as unto a light that shineth in a dark place, until the day dawn, and the day star arise in your hearts:",II Peter 1:19
"Empires are built by dictators, legacies by countries",General,Neutral,Reflective,General,Anytime Wisdom,53,4.0,"The empires of the present are encumbered by the mind; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason","Far above all principality, and power, and might, and dominion, and every name that is named, not only in this world, but also in that which is to come:",Ephesians 1:21
Etiquette often prohibits us from saying our true heart's emotions on lesse in stress,General,Neutral,Reflective,General,Anytime Wisdom,85,6.4,True friends will take a stab for you; If work is your home then less mental stress follows; Never undermine someone on lesse you do no harm,Wherefore comfort one another with these words. ,I Thessalonians 4:18
There are better ways to indicate your fidelity than wearing a ring,General,Neutral,Reflective,General,Anytime Wisdom,67,5.0,A four colour BIC pen can indulge a child in so many ways; The gift of eloquence in speech does not indicate one's intelligence or wisdom; A combination of different artistic works together indicate a story and theme,"And I put a jewel on thy forehead, and earrings in thine ears, and a beautiful crown upon thine head.",Ezekiel 16:12
I believe that life for ‘believers' is said to last at ‘least' seven thousand years,General,Neutral,Inspirational,General,Anytime Wisdom,83,6.2,If someone has been telling you his/her same problems for years then do something; Be attentive to what is said about you as it reflects your own nature; Believe in the Jack,"And from the time that the daily sacrifice shall be taken away, and the abomination that maketh desolate set up, there shall be a thousand two hundred and ninety days.",Daniel 12:11
"If a friend opens up with a secret you loathe - you are free to leave them, but not hurt",General,Neutral,Reflective,Human Nature,Anytime Wisdom,88,6.6,"If you loathe an idol try to understand why others love him/her so dearly; If a friend betrays you once, then again, and then several times more, that person is ‘evil'; Be happy for those that foster trouble free lives","Trust ye not in a friend, put ye not confidence in a guide: keep the doors of thy mouth from her that lieth in thy bosom.",Micah 7:5
Genuine travellers seek to relish most of it all,General,Neutral,Reflective,General,Anytime Wisdom,48,3.6,If you seek something but cannot find then try asking instead; Embrace technology but relish simplicity; Every genuine artist has his/her own style,"And said unto them, Sirs, I perceive that this voyage will be with hurt and much damage, not only of the lading and ship, but also of our lives.",Acts 27:10
Money laundering and deception prejudices and impacts others dearly,General,Neutral,Reflective,General,Anytime Wisdom,67,5.0,If you loathe an idol try to understand why others love him/her so dearly; The best people in the world are not full of money but have character; A belief in myths is not altogether foolish if it impacts your next life to be,"Trust not in oppression, and become not vain in robbery: if riches increase, set not your heart upon them.",Psalms 62:10
"If you live in a world where friendships with the opposite sex ultimately involves sex, you have issues",General,Neutral,Reflective,Human Nature,Anytime Wisdom,103,7.7,Without friends nothing would ever get done - ultimately...; Good friendships cannot be bought; It is best to live with some values than none,"Ye adulterers and adulteresses, know ye not that the friendship of the world is enmity with God? whosoever therefore will be a friend of the world is the enemy of God.",James 4:4
Depressive individuals usually fall short in the law of averages in whatever medium,General,Neutral,Reflective,General,Anytime Wisdom,83,6.2,Senryu truly ought never be too short; A noble belief is usually for a good cause; Learning from mistakes cuts short one side of our life,"When the wicked rise, men hide themselves: but when they perish, the righteous increase. ",Proverbs 28:28
Being honest to oneself does clarify,General,Neutral,Reflective,General,Anytime Wisdom,36,2.7,To live utterly honest one needs wisdom; Mental conditioning is best done by oneself with reason; Good advertising does not sell everything if the product does not live up to expectations,"Now therefore be content, look upon me; for it is evident unto you if I lie.",Job 6:28
Some forms of behaviour have to be left for indoors only - most of the time,General,Neutral,Reflective,General,Anytime Wisdom,75,5.6,"All forms of government work, but to the right people; If your enemies give you a hard time it may be plausible to passively approach them, time and time again - tact is the key; Time and time again I watch individuals bully others with none intervening - why?","For they sleep not, except they have done mischief; and their sleep is taken away, unless they cause some to fall.",Proverbs 4:16
Some dreams cannot be readily interpreted without a clear sequel,Dreams,Reflective,Reflective,Creativity,Evening Reflection,64,4.8,"Never underestimate the power of dreams; Dreams are not prophetic, they are inductive; Originality is almost always readily noticeable","And Pharaoh said unto Joseph, I have dreamed a dream, and there is none that can interpret it: and I have heard say of thee, that thou canst understand a dream to interpret it.",Genesis 41:15
"If you love a certain creature, or thing, ought you not be trying to protect it?",Love,Neutral,Reflective,Relationships,Anytime Wisdom,80,6.0,Suillagic terminology ought not be used in love sonnets; Do the right thing not for deity alone but because it is right; Senryu truly ought never be too short,Ye shall not fear them: for the Lord your God he shall fight for you.,Deuteronomy 3:22
Time and time again I watch individuals bully others with none intervening - why?,General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,"If your enemies give you a hard time it may be plausible to passively approach them, time and time again - tact is the key; It is not so much to spoil employees with some motivating perks from time to time; Learn to ‘let go' when time mandates it so","Why dost thou shew me iniquity, and cause me to behold grievance? for spoiling and violence are before me: and there are that raise up strife and contention.",Habakkuk 1:3
If it is imperative that you reach someone then be sure there is always a way,General,Neutral,Advisory,General,Anytime Wisdom,77,5.8,Having control of your own mind is imperative for a life well lived; Social networks are useful to let others reach out to you; If your cause is fair then there is always a way,"Seek ye the Lord while he may be found, call ye upon him while he is near:",Isaiah 55:6
One hour of somebody's time a week to hear inspiring words is not a bad demand,General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,There is so much beauty in words and it is words that conquers a nation; Remember kind and bad words but dwell on only the kind ones; If someone claims they can do a job good then at least hear his/her reasons,"And this I say, lest any man should beguile you with enticing words.",Colossians 2:4
There is meaning behind every dream or experience - do not be scared,Dreams,Reflective,Advisory,Creativity,Evening Reflection,68,5.1,If it has deep meaning it is poetry; Some people will never understand the meaning of SYLLAS; Animals too may experience human-like ills,"I saw a dream which made me afraid, and the thoughts upon my bed and the visions of my head troubled me.",Daniel 4:5
If bored try to make it an objective to make someone happy and see how that feels,General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,Be happy for others; Too much education may make you blind to life itself; Winning a duel may not always make you the winner,"Happy is the man that findeth wisdom, and the man that getteth understanding.",Proverbs 3:13
"The simple pleasures, like flying a kite, or using a bike, can be made readily available",General,Neutral,Reflective,General,Anytime Wisdom,88,6.6,Originality is almost always readily noticeable; Pray like you mean it; Some dreams cannot be readily interpreted without a clear sequel,"To give subtilty to the simple, to the young man knowledge and discretion.",Proverbs 1:4
Superstition may be deemed as nonsense but it may have a psychological butterfly effect,General,Neutral,Reflective,General,Anytime Wisdom,87,6.5,"Stereotypes are mostly erroneous and leads to demise, on lesse you get psychological; If you have not understood superstition first hand then you do not know the real world; Do not let superstition control your life, instead learn to appreciate it","Then Paul stood in the midst of Mars’ hill, and said, Ye men of Athens, I perceive that in all things ye are too superstitious.",Acts 17:22
If someone claims they can do a job good then at least hear his/her reasons,General,Neutral,Reflective,Life Advice,Anytime Wisdom,75,5.6,There are perks at every job; you just have to learn how to find them; If someone gives you something precious of theirs make sure you know their reasons; The minute you think you are the only person for a job then ego sets in too,Should he reason with unprofitable talk? or with speeches wherewith he can do no good?,Job 15:3
Throughout time reasoning in ethics have warranted that compassion leads to better lives,General,Neutral,Reflective,General,Anytime Wisdom,88,6.6,"Genuine altruism asks for compassion to others en parallel to compassion to self; Never let imagination control your reasoning; If your enemies give you a hard time it may be plausible to passively approach them, time and time again - tact is the key","And of some have compassion, making a difference:",Jude 1:22
Life looks better when good deeds are done with no ill malice,General,Neutral,Reflective,General,Anytime Wisdom,61,4.6,Never give up the faith in good deeds; Get in the habit of doing some good deeds every once in a while at least - good happens; Once you survive rock bottom the world looks different,"For it is better, if the will of God be so, that ye suffer for well doing, than for evil doing.",I Peter 3:17
It is not so much to spoil employees with some motivating perks from time to time,General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,"If your enemies give you a hard time it may be plausible to passively approach them, time and time again - tact is the key; Time and time again I watch individuals bully others with none intervening - why?; There are perks at every job; you just have to learn how to find them","Better it is to be of an humble spirit with the lowly, than to divide the spoil with the proud.",Proverbs 16:19
The minute you think you are the only person for a job then ego sets in too,General,Neutral,Reflective,Life Advice,Anytime Wisdom,75,5.6,"Art does not convey much about a person on lesse you know the person; If you think your experience is unique, think again, you are only human; There are perks at every job; you just have to learn how to find them","Then Job answered and said,",Job 9:1
If you cannot explain an occurrence try reaching out,General,Neutral,Reflective,General,Anytime Wisdom,52,3.9,Try not to worry but strive for your identity; If you seek something but cannot find then try asking instead; If current times are hard try something fun,"Once have I spoken; but I will not answer: yea, twice; but I will proceed no further.",Job 40:5
Routines are luxuries in which not all have - so be grateful,General,Neutral,Reflective,General,Anytime Wisdom,60,4.5,"Be grateful for senses; Be grateful for awards; Plants, even plastic ones, are luxuries readily attainable","I fast twice in the week, I give tithes of all that I possess.",Luke 18:12
Life behind bars whilst innocent does nothing for character building,General,Neutral,Reflective,General,Anytime Wisdom,68,5.1,The best people in the world are not full of money but have character; Persistence is not always a good choice but it builds character; Good advertising does not sell everything if the product does not live up to expectations,"If they say, Come with us, let us lay wait for blood, let us lurk privily for the innocent without cause:",Proverbs 1:11
There is no reason to lie with a truth well told,Truth,Serious,Reflective,Philosophy,Anytime Wisdom,48,3.6,Truth is for the wise; Learn what reason is; In love only truth is fair,"I have not written unto you because ye know not the truth, but because ye know it, and that no lie is of the truth.",I John 2:21
"If you cannot work around the standard times, then make work suit your schedules",General,Neutral,Reflective,Life Advice,Anytime Wisdom,80,6.0,"All forms of government work, but to the right people; Just because someone doesn't work does not mean they are stupid; Most people want to work - there are always jobs with a good government","I must work the works of him that sent me, while it is day: the night cometh, when no man can work.",John 9:4
The good ones suffer from seeing others in pain,General,Somber,Reflective,General,Anytime Wisdom,47,3.5,If it hurts for you to see someone else in pain then maybe you are not without hope; Real discovery begins by seeing with new eyes; Some individuals will never experience pain or suffering - feel happy for them,"All this have I seen, and applied my heart unto every work that is done under the sun: there is a time wherein one man ruleth over another to his own hurt.",Ecclesiastes 8:9
Everyone's lifetime/cycle is different - have you planned ahead?,General,Neutral,Reflective,General,Anytime Wisdom,64,4.8,"Some cause happiness wherever they go and some only in synchrony so planned; Arational is he that does not think ahead; You may not think yourself evil, but ponder every time you put yourself ahead","Not forsaking the assembling of ourselves together, as the manner of some is; but exhorting one another: and so much the more, as ye see the day approaching.",Hebrews 10:25
In examining history we are able to understand the basics of human heart,General,Neutral,Reflective,General,Anytime Wisdom,72,5.4,When examining history some things are obvious; What you do not understand about this world ‘may' be for your own safety; Learning from history is the quickest way to wisdom,Who hath put wisdom in the inward parts? or who hath given understanding to the heart?,Job 38:36
When examining history some things are obvious,General,Neutral,Reflective,General,Anytime Wisdom,46,3.5,"In examining history we are able to understand the basics of human heart; Learning from history is the quickest way to wisdom; However bad things may become, after experiencing downfall once it can all be again","And beheld among the simple ones, I discerned among the youths, a young man void of understanding,",Proverbs 7:7
Only use superstition as a means to inspire positively the self - nothing else,General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,Dispassionate speakers do not inspire; Horded is he/she that accumulates never to see the possessions in use again; Some creatures never cease to inspire the mind of a thinker,"Follow after charity, and desire spiritual gifts, but rather that ye may prophesy.",I Corinthians 14:1
Some presents may have an impact on someone that is unimaginable,General,Neutral,Reflective,General,Anytime Wisdom,64,4.8,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values","Now there are diversities of gifts, but the same Spirit.",I Corinthians 12:4
Most people want to work - there are always jobs with a good government,General,Neutral,Advisory,Human Nature,Anytime Wisdom,71,5.3,"All forms of government work, but to the right people; If you cannot work around the standard times, then make work suit your schedules; It is strange how we only see the good in people if they conform to our petty mannerisms","That they do good, that they be rich in good works, ready to distribute, willing to communicate;",I Timothy 6:18
Higher sentience sometimes is perceived odd,General,Neutral,Reflective,General,Anytime Wisdom,43,3.2,"Higher sentience at times needs a good telling off too - man was created with the capacity to reason with them/it, and so we should; Understanding the value of sentience gives us something to fight for; A sudden change from a long standing standard may be relatively perceived in favour",Is there iniquity in my tongue? cannot my taste discern perverse things? ,Job 6:30
Racial equality would eliminate most beauty stereotypes,General,Neutral,Reflective,General,Anytime Wisdom,55,4.1,"Stereotypes are mostly erroneous and leads to demise, on lesse you get psychological; It is fun to pick on stereotypes and clashes of cultures, but its best to be mindful; There is so much beauty and representative truth in myths of old",For thou wilt save the afflicted people; but wilt bring down high looks.,Psalms 18:27
I do believe certain material possessions can be taken to the afterlife - why not?,General,Neutral,Inspirational,General,Anytime Wisdom,82,6.2,Death is no easy way out as the afterlife is never certain as such; Be careful of brainwashing material on lesse certain it is of good nature; Horded is he/she that accumulates never to see the possessions in use again,"If we have sown unto you spiritual things, is it a great thing if we shall reap your carnal things?",I Corinthians 9:11
If you reach dire old age you still do have a chance to travel in style - worry not if unable,General,Neutral,Reflective,General,Anytime Wisdom,93,7.0,"In this new age if you truly want to reach out for help be inventive with the WWW; Every genuine artist has his/her own style; Believe in yourself, but if unable to do so at times then rely on others","Remember ye not the former things, neither consider the things of old.",Isaiah 43:18
"Higher sentience at times needs a good telling off too - man was created with the capacity to reason with them/it, and so we should",General,Neutral,Reflective,General,Anytime Wisdom,131,9.8,Higher sentience sometimes is perceived odd; True magic distorts raw human sentience and good reason; A man can be happy with any woman provided all his love needs are met,"Then there arose a reasoning among them, which of them should be greatest.",Luke 9:46
If it has deep meaning it is poetry,General,Neutral,Reflective,General,Anytime Wisdom,35,2.6,Some people will never understand the meaning of SYLLAS; There is meaning behind every dream or experience - do not be scared; There is no poetry in vulgarity but sagely contemplation of evil,The entrance of thy words giveth light; it giveth understanding unto the simple.,Psalms 119:130
Hypnosis is a silly thing to be paranoid about - but when young...,General,Neutral,Reflective,General,Anytime Wisdom,66,5.0,"Mental conditioning is a process best started young; Do the right thing not for deity alone but because it is right; If you love a certain creature, or thing, ought you not be trying to protect it?","Fearfulness and trembling are come upon me, and horror hath overwhelmed me.",Psalms 55:5
"Appearances, health, or social status are just illusionary criteria of happiness",General,Uplifting,Reflective,General,Anytime Wisdom,80,6.0,Happiness is being in harmony; Judging individuals entirely by appearances is utterly foolish; This world would not have happiness without entertainers,"Happy is the man that findeth wisdom, and the man that getteth understanding.",Proverbs 3:13
Some noble ideals are worth pursuing but mayhap not throughout all known territory,General,Neutral,Poetic,General,Daily Motivation,82,6.2,The hearts of men are swayed by noble ideals; Some memories are worth keeping best preserved; Certain ideals are admirable by both evil and good alike,For the transgression of a land many are the princes thereof: but by a man of understanding and knowledge the state thereof shall be prolonged.,Proverbs 28:2
To follow a trend is just natural but to understand a trend is wisdom,Wisdom,Neutral,Reflective,Philosophy,Anytime Wisdom,69,5.2,To build is a natural instinct in nature overcome by comfort; What you do not understand about this world ‘may' be for your own safety; Do not completely underestimate the wisdom from the past,Wisdom is the principal thing; therefore get wisdom: and with all thy getting get understanding.,Proverbs 4:7
I never imagined how much fun poetry was ‘till three friends gave me separate reasons,Humor,Reflective,Advisory,Human Nature,Lighthearted Moment,85,6.4,Without friends nothing would ever get done - ultimately...; It is always fun helping; If it has deep meaning it is poetry,"For out of much affliction and anguish of heart I wrote unto you with many tears; not that ye should be grieved, but that ye might know the love which I have more abundantly unto you.",II Corinthians 2:4
Without friends nothing would ever get done - ultimately...,General,Neutral,Reflective,Human Nature,Anytime Wisdom,59,4.4,Speak highly of your friends because it reflect your own self ultimately; True friends will take a stab for you; Good friends ‘may' think alike,Make no friendship with an angry man; and with a furious man thou shalt not go:,Proverbs 22:24
"C'mon, serious!? UFO's! Here? On Earth? Well, at least it is not an alien.",General,Neutral,Reflective,General,Anytime Wisdom,74,5.6,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values","And her two sons; of which the name of the one was Gershom; for he said, I have been an alien in a strange land:",Exodus 18:3
Grown up fairy tales can be understood on so many different levels,General,Neutral,Reflective,General,Anytime Wisdom,66,5.0,Stupid things we do can turn into great tales; If you have not understood superstition first hand then you do not know the real world; Be realistic and don't compete at amateur levels against trained professionals,"And they shall turn away their ears from the truth, and shall be turned unto fables.",II Timothy 4:4
Grow to love your identity,"Love, Identity",Neutral,Reflective,Relationships,Anytime Wisdom,26,2.0,Make good impressions on children because one day they will grow up with you in mind; Try not to worry but strive for your identity; Favouritism will only get you so far but it gives you identity,"Of such an one will I glory: yet of myself I will not glory, but in mine infirmities.",II Corinthians 12:5
Micro communities exist,General,Neutral,Reflective,General,Anytime Wisdom,23,1.7,Melodies of peaceful nature exist in every culture; If things feel bad realize worse emotions exist; Compare yourself to others only in a noble and just manner - lest you create envy in others,"When ye were but few, even a few, and strangers in it.",I Chronicles 16:19
Minor differences have killed many throughout time,General,Neutral,Reflective,General,Anytime Wisdom,50,3.8,"If your enemies give you a hard time it may be plausible to passively approach them, time and time again - tact is the key; Time and time again I watch individuals bully others with none intervening - why?; It is not so much to spoil employees with some motivating perks from time to time",And those that died in the plague were twenty and four thousand.,Numbers 25:9
If someone acts distant do try to thoroughly discover their reasons,General,Neutral,Reflective,General,Anytime Wisdom,67,5.0,If someone claims they can do a job good then at least hear his/her reasons; If someone gives you something precious of theirs make sure you know their reasons; Try not to worry but strive for your identity,Be not far from me; for trouble is near; for there is none to help.,Psalms 22:11
This world would not have happiness without entertainers,General,Uplifting,Reflective,General,Anytime Wisdom,56,4.2,Happiness is being in harmony; What you do not understand about this world ‘may' be for your own safety; If personal happiness then cherish it deeply for it may not last,"Yet not altogether with the fornicators of this world, or with the covetous, or extortioners, or with idolaters; for then must ye needs go out of the world.",I Corinthians 5:10
Support those stores that bring a smile to your face because one day they could vanish,General,Uplifting,Reflective,General,Anytime Wisdom,86,6.5,In the face of hysteria its best to keep stern; You may not realise the face of poverty until it comes to you; Living is always finding a reason to live in face of all,"And ye shall eat old store, and bring forth the old because of the new.",Leviticus 26:10
You may not realise the face of poverty until it comes to you,General,Neutral,Reflective,General,Anytime Wisdom,61,4.6,A good imagination is the best escape from poverty; Appreciate good fortune when it comes to you; Love comes and goes many times over but a soulmate may only come once,"For ye know the grace of our Lord Jesus Christ, that, though he was rich, yet for your sakes he became poor, that ye through his poverty might be rich.",II Corinthians 8:9
Sometimes you have to accept people for what they are as common human nature,General,Neutral,Reflective,Human Nature,Anytime Wisdom,76,5.7,Hesitating is a common nature in all as an act of self preservation; Believe in the kindness and common sense of corporations that share; Animals too may experience human-like ills,To have respect of persons is not good: for for a piece of bread that man will transgress.,Proverbs 28:21
"Sure, there is talk about many known secret societies, but what of the unknown?",General,Neutral,Reflective,General,Daily Motivation,79,5.9,The most perfect individuals are often unknown; Teamwork is vital for the wellbeing of most societies; Stalkers ought to make an attempt to talk to their victims,"For nothing is secret, that shall not be made manifest; neither any thing hid, that shall not be known and come abroad.",Luke 8:17
Wicked are wars that see human beings as chess pieces,General,Neutral,Reflective,General,Anytime Wisdom,53,4.0,Think deeply at who starts what wars in wars and for what cause; Understand that even the nastiest of beings may have problems too; Revenge is not only a tool for the wicked,Which imagine mischiefs in their heart; continually are they gathered together for war.,Psalms 140:2
Do not completely underestimate the wisdom from the past,Wisdom,Neutral,Advisory,Philosophy,Anytime Wisdom,56,4.2,There was no sense in diversity in the past; Never underestimate the power of dreams; Don't ever underestimate the might of agility,Wisdom is before him that hath understanding; but the eyes of a fool are in the ends of the earth.,Proverbs 17:24
"If asked to do something foolish while drunk, please think things utterly through first",General,Neutral,Reflective,General,Anytime Wisdom,87,6.5,"Judging individuals entirely by appearances is utterly foolish; If you think your experience is unique, think again, you are only human; Embrace A.I. - think!","Stay yourselves, and wonder; cry ye out, and cry: they are drunken, but not with wine; they stagger, but not with strong drink.",Isaiah 29:9
Animals too may experience human-like ills,General,Neutral,Reflective,General,Anytime Wisdom,42,3.2,"If you think your experience is unique, think again, you are only human; Pray like you mean it; It is hard to imagine venomous animals to be friend of man",If a man or woman have a plague upon the head or the beard;,Leviticus 13:29
Melodies of peaceful nature exist in every culture,General,Neutral,Reflective,General,Anytime Wisdom,50,3.8,Micro communities exist; Respect and admiration for a different culture does not label you a traitor; If things feel bad realize worse emotions exist,"Make a joyful noise unto God, all ye lands:",Psalms 66:1
Once someone told me to think laterally so I turned my head to the side,General,Neutral,Reflective,General,Anytime Wisdom,71,5.3,"If you think your experience is unique, think again, you are only human; Embrace A.I. - think!; There is no reason to lie with a truth well told","Then I turned, and lifted up mine eyes, and looked, and behold a flying roll.",Zechariah 5:1
Hellraiser knows everything about pain - be him really fictional?,General,Somber,Reflective,General,Daily Motivation,65,4.9,If it hurts for you to see someone else in pain then maybe you are not without hope; The good ones suffer from seeing others in pain; The only ultimate wisdom knows to be reasonably and rationally relative,"He is chastened also with pain upon his bed, and the multitude of his bones with strong pain:",Job 33:19
Believe in the power of good because there is not much else to rely on,General,Neutral,Inspirational,General,Anytime Wisdom,70,5.3,"Believe in yourself, but if unable to do so at times then rely on others; Never underestimate the power of dreams; Believe in the Jack","Not because we have not power, but to make ourselves an ensample unto you to follow us.",II Thessalonians 3:9
Slandering and harming others because of envy is utterly evil,Ethics,Serious,Reflective,Ethics,Anytime Wisdom,61,4.6,To live utterly honest one needs wisdom; Compare yourself to others only in a noble and just manner - lest you create envy in others; Evil's greatest fallacy is its capacity to feel love - true evil feels none so be very beware,"For where envying and strife is, there is confusion and every evil work.",James 3:16
Nations that unite rapidly certainly have a common nobler cause,General,Neutral,Reflective,General,Anytime Wisdom,63,4.7,If your cause is fair then there is always a way; Sometimes you have to accept people for what they are as common human nature; Great nations are inspired by beauty in whatever country,"Who smote great nations, and slew mighty kings;",Psalms 135:10
True magic distorts raw human sentience and good reason,General,Neutral,Reflective,General,Anytime Wisdom,55,4.1,"Higher sentience at times needs a good telling off too - man was created with the capacity to reason with them/it, and so we should; Learn what reason is; True friends will take a stab for you","Let us draw near with a true heart in full assurance of faith, having our hearts sprinkled from an evil conscience, and our bodies washed with pure water.",Hebrews 10:22
"Dreams are not prophetic, they are inductive",Dreams,Reflective,Reflective,Creativity,Evening Reflection,44,3.3,Never underestimate the power of dreams; Islam practice is inductive towards great discipline; Some dreams cannot be readily interpreted without a clear sequel,"I have heard what the prophets said, that prophesy lies in my name, saying, I have dreamed, I have dreamed.",Jeremiah 23:25
Once a lesson is learnt it is not always warranted a mistake shall not be repeated,General,Neutral,Advisory,General,Anytime Wisdom,82,6.2,A great deal can be learnt from alternative faiths; If anything can go wrong rest assured it shall not always or ever be so; Getting absolutely drunk is an experience that is not often repeated with wisdom,"But continue thou in the things which thou hast learned and hast been assured of, knowing of whom thou hast learned them; ",II Timothy 3:14
There is always a GREAT place for you in God's plan,General,Neutral,Advisory,Spirituality,Spiritual Prompt,51,3.8,There is always a place for you in a story; If you plan a joke make sure you know the language first; Collecting something is worthwhile if you plan on passing it on someday,And the house which I build is great: for great is our God above all gods.,II Chronicles 2:5
Great lessons may be learned by observing nature,General,Neutral,Reflective,General,Anytime Wisdom,48,3.6,There is always a GREAT place for you in God's plan; Nature is most kind to those with a display of passion; If you have not seen nature in purple you are missing out,"Give instruction to a wise man, and he will be yet wiser: teach a just man, and he will increase in learning.",Proverbs 9:9
Appreciating comfort foods can be started with grace,General,Neutral,Reflective,General,Anytime Wisdom,52,3.9,Mental conditioning is a process best started young; To build is a natural instinct in nature overcome by comfort; Compare yourself to others only in a noble and just manner - lest you create envy in others,"For all things are for your sakes, that the abundant grace might through the thanksgiving of many redound to the glory of God.",II Corinthians 4:15
The presence of misery cannot be told by sight alone,General,Neutral,Reflective,General,Anytime Wisdom,52,3.9,Misery strikes you unaware; There is no reason to lie with a truth well told; Be tolerant to those that choose to harm themselves believing otherwise as long as they are out of sight,Destruction and misery are in their ways:,Romans 3:16
Winning a duel may not always make you the winner,General,Neutral,Advisory,General,Anytime Wisdom,49,3.7,If bored try to make it an objective to make someone happy and see how that feels; Too much education may make you blind to life itself; Treating someone with no dignity in respect can make them ponder,"By this I know that thou favourest me, because mine enemy doth not triumph over me.",Psalms 41:11
Some people will never understand the meaning of SYLLAS,General,Neutral,Advisory,Human Nature,Anytime Wisdom,55,4.1,SYLLAS is not an abnormality; If it has deep meaning it is poetry; There is meaning behind every dream or experience - do not be scared,"For unclean spirits, crying with loud voice, came out of many that were possessed with them: and many taken with palsies, and that were lame, were healed.",Acts 8:7
Never encourage stupid behaviour unless certain of its good benefits,General,Neutral,Advisory,General,Anytime Wisdom,68,5.1,Certain ideals are admirable by both evil and good alike; Stupid things we do can turn into great tales; Just because someone doesn't work does not mean they are stupid,"Forsake the foolish, and live; and go in the way of understanding.",Proverbs 9:6
Justice is sometimes better served by the sole incumbent,General,Neutral,Reflective,Ethics,Anytime Wisdom,56,4.2,Slavery is purely ethical and proper if served as an optional part of a sentence; Respect for the decease is greatly gained by familiarity of the incumbent; If one needs persuasion for good ideas or suggestion then the incumbent lacks reason,"And judgment is turned away backward, and justice standeth afar off: for truth is fallen in the street, and equity cannot enter.",Isaiah 59:14
Misery strikes you unaware,General,Neutral,Reflective,General,Anytime Wisdom,26,2.0,"The presence of misery cannot be told by sight alone; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason",Destruction and misery are in their ways:,Romans 3:16
Symbolist rituals do not need bloodletting,General,Neutral,Advisory,General,Anytime Wisdom,42,3.2,"Help others find love that need it so; Learn from fear when need be, and overcome it next time; Love in any form does not necessarily need verbal communication","Ye shall not eat any thing with the blood: neither shall ye use enchantment, nor observe times.",Leviticus 19:26
Imagination well used may be better than reading a good book,General,Neutral,Reflective,Creativity,Anytime Wisdom,60,4.5,A good imagination is the best escape from poverty; With a good imagination not only can you take a guess at the future but you can shape it; Food tastes better when passionate emotions are used in the making,Better is the sight of the eyes than the wandering of the desire: this is also vanity and vexation of spirit.,Ecclesiastes 6:9
"Do not let superstition control your life, instead learn to appreciate it",General,Neutral,Advisory,General,Anytime Wisdom,73,5.5,Never let imagination control your reasoning; Learn to ‘let go' when time mandates it so; Learn what reason is,"Then Paul stood in the midst of Mars’ hill, and said, Ye men of Athens, I perceive that in all things ye are too superstitious.",Acts 17:22
"Intelligent creatures, whatever type, are capable of attempting magic - be warned",General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,There is only so much a single person is capable of achieving when alone; Elegant creatures become renowned through insignias; Some creatures never cease to inspire the mind of a thinker,"And the magicians did so with their enchantments to bring forth lice, but they could not: so there were lice upon man, and upon beast.",Exodus 8:18
Certain ideals are admirable by both evil and good alike,Ethics,Serious,Reflective,Ethics,Anytime Wisdom,56,4.2,Good friends ‘may' think alike; Be careful of brainwashing material on lesse certain it is of good nature; The hearts of men are swayed by noble ideals,They also that render evil for good are mine adversaries; because I follow the thing that good is.,Psalms 38:20
